technical_match_ratio,technical_partial_ratio,technical_missing_ratio,mandatory_requirement_compliance,document_completeness,required_documents_present,required_documents_missing,evidence_coverage,specification_match_score,specification_conflict_count,experience_years,relevant_experience_score,delivery_days,delivery_compliance,quoted_price,price_score,standards_coverage,high_risk_requirement_count,missing_evidence_count,conflict_count,compliance_class
0.71,0.15,0.14,1,0.779,3,2,0.762,71.0,2,9,95,67,1,15008.77,70.0,0.807,1,2,4,2
0.838,0.016,0.145,1,0.726,3,2,0.706,83.8,2,6,58,53,1,21839.24,56.3,0.762,0,2,2,3
0.685,0.0,0.373,1,0.717,3,2,0.627,68.5,5,0,5,44,0,28855.78,42.3,0.627,1,3,7,1
0.679,0.111,0.21,1,0.601,3,2,0.546,67.9,3,0,18,63,0,23297.77,53.4,0.507,1,4,3,2
0.967,0.0,0.045,1,1.0,5,0,0.821,96.7,0,9,100,85,1,42542.48,14.9,0.953,0,1,1,3
0.935,0.055,0.01,1,0.767,3,2,0.742,93.5,0,10,100,85,1,29959.29,40.1,0.776,0,2,0,3
0.771,0.09,0.139,1,0.712,3,2,0.683,77.1,2,12,100,67,1,30040.14,39.9,0.808,1,3,4,2
0.954,0.003,0.043,1,0.754,3,2,0.658,95.4,0,4,36,72,1,41236.9,17.5,0.795,0,3,0,3
0.991,0.006,0.003,1,0.969,4,1,0.811,99.1,0,4,50,37,1,36561.35,26.9,0.829,0,1,2,3
0.732,0.125,0.143,1,0.62,3,2,0.555,73.2,2,9,100,41,1,18128.32,63.7,0.673,1,4,4,2
0.343,0.0,0.749,1,0.302,1,4,0.255,34.3,11,3,37,43,0,18716.67,62.6,0.368,3,7,13,0
0.676,0.114,0.211,0,0.781,3,2,0.735,67.6,3,2,11,17,1,25614.93,48.8,0.601,1,2,3,0
0.89,0.02,0.091,1,1.0,5,0,0.918,89.0,1,4,56,22,1,32805.74,34.4,0.958,0,0,3,3
0.602,0.251,0.148,1,0.76,3,2,0.708,60.2,2,13,100,36,1,31669.1,36.7,0.557,1,2,4,2
0.12,0.269,0.612,0,0.0,0,5,0.0,12.0,9,3,38,10,1,18391.14,63.2,0.185,4,10,11,0
0.754,0.226,0.021,1,0.629,3,2,0.606,75.4,0,3,24,24,1,10943.68,78.1,0.729,1,3,2,2
0.262,0.098,0.641,0,0.263,1,4,0.257,26.2,9,4,34,60,0,6301.22,87.4,0.163,3,7,11,0
0.79,0.123,0.087,1,0.953,4,1,0.767,79.0,1,10,100,20,1,20402.96,59.2,0.595,1,2,3,3
0.043,0.332,0.625,0,0.0,0,5,0.0,4.3,9,3,20,69,0,13836.78,72.3,0.059,4,10,11,0
0.689,0.026,0.285,1,0.624,3,2,0.587,68.9,4,3,42,41,0,17990.45,64.0,0.539,1,4,5,2
0.282,0.172,0.546,0,0.15,0,5,0.123,28.2,8,2,30,46,0,5157.89,89.7,0.379,3,8,9,0
0.605,0.266,0.129,1,0.739,3,2,0.594,60.5,1,14,100,88,1,15808.39,68.4,0.592,1,4,1,2
0.006,0.635,0.36,0,0.033,0,5,0.03,0.6,5,4,51,14,1,18869.34,62.3,0.0,4,9,6,0
0.957,0.017,0.026,1,1.0,5,0,0.878,95.7,0,9,94,59,1,24807.57,50.4,0.773,0,1,1,3
0.669,0.296,0.035,1,0.802,4,1,0.731,66.9,0,4,41,89,1,19791.66,60.4,0.743,1,2,2,2
0.703,0.222,0.075,1,0.711,3,2,0.589,70.3,1,8,99,85,1,31509.25,37.0,0.666,1,4,1,3
0.732,0.201,0.067,1,0.747,3,2,0.635,73.2,1,10,96,74,1,13688.1,72.6,0.561,1,3,2,2
0.252,0.297,0.451,0,0.408,2,3,0.345,25.2,6,3,40,33,0,8021.92,84.0,0.122,3,6,8,0
0.422,0.381,0.196,0,0.304,1,4,0.291,42.2,2,4,50,58,0,34399.58,31.2,0.322,2,7,4,0
0.872,0.01,0.118,1,0.798,3,2,0.725,87.2,1,9,89,9,1,15957.19,68.1,0.934,0,2,2,3
0.742,0.157,0.101,1,0.708,3,2,0.62,74.2,1,7,67,33,1,26191.73,47.6,0.677,1,3,1,2
0.139,0.352,0.51,0,0.085,0,5,0.072,13.9,7,3,30,42,0,15892.73,68.2,0.092,4,9,9,0
0.82,0.138,0.042,1,0.992,4,1,0.858,82.0,0,14,100,66,1,38319.45,23.4,0.691,0,1,0,3
0.385,0.433,0.181,0,0.391,1,4,0.369,38.5,2,3,22,69,0,33033.07,33.9,0.201,3,6,4,0
0.922,0.039,0.039,1,1.0,5,0,0.899,92.2,0,13,100,55,1,44056.4,11.9,0.83,0,1,1,3
0.712,0.149,0.139,1,0.556,2,3,0.457,71.2,2,8,92,36,1,26694.43,46.6,0.53,1,5,2,2
0.915,0.067,0.018,1,1.0,5,0,0.957,91.5,0,14,100,28,1,23784.53,52.4,0.937,0,0,0,3
0.447,0.43,0.123,1,0.249,1,4,0.201,44.7,1,4,55,18,1,17438.67,65.1,0.521,2,7,3,1
0.676,0.096,0.228,1,0.508,2,3,0.487,67.6,3,4,46,84,0,33890.53,32.2,0.485,1,5,3,2
0.466,0.365,0.17,1,0.615,3,2,0.579,46.6,2,4,53,36,0,27349.8,45.3,0.316,2,4,3,1
0.467,0.328,0.205,1,0.317,1,4,0.29,46.7,3,0,15,42,0,32626.95,34.7,0.397,2,7,4,1
0.904,0.071,0.024,1,0.936,4,1,0.877,90.4,0,10,100,31,1,17532.2,64.9,0.94,0,1,2,3
0.254,0.006,0.74,0,0.437,2,3,0.425,25.4,11,1,24,34,0,10493.8,79.0,0.234,3,5,11,0
0.662,0.087,0.251,1,0.861,4,1,0.774,66.2,3,1,28,10,1,30350.42,39.3,0.695,1,2,4,2
0.676,0.194,0.129,1,0.554,2,3,0.458,67.6,1,7,87,50,1,32330.9,35.3,0.742,1,5,1,2
0.764,0.229,0.008,1,0.766,3,2,0.712,76.4,0,8,81,63,1,13971.32,72.1,0.622,1,2,0,3
0.408,0.315,0.277,1,0.269,1,4,0.258,40.8,4,4,30,74,0,33449.7,33.1,0.455,2,7,4,1
0.167,0.253,0.58,0,0.147,0,5,0.135,16.7,8,4,38,44,0,10191.66,79.6,0.191,4,8,9,0
0.419,0.215,0.367,1,0.487,2,3,0.486,41.9,5,2,16,32,0,21398.65,57.2,0.322,2,5,6,1
0.971,0.0,0.049,1,0.877,4,1,0.827,97.1,0,11,100,52,1,31659.36,36.7,1.0,0,1,2,3
0.967,0.0,0.045,1,1.0,5,0,0.892,96.7,0,8,98,47,1,20887.48,58.2,0.894,0,1,0,3
0.007,0.433,0.56,0,0.184,0,5,0.153,0.7,8,2,11,84,0,13581.5,72.8,0.063,4,8,10,0
0.286,0.197,0.518,0,0.106,0,5,0.095,28.6,7,2,10,57,0,8785.01,82.4,0.21,3,9,7,0
0.631,0.243,0.125,1,0.645,3,2,0.534,63.1,1,6,66,22,1,13443.21,73.1,0.615,1,4,3,2
0.777,0.178,0.045,0,0.592,2,3,0.477,77.7,0,11,100,66,1,29163.93,41.7,0.793,1,5,0,1
0.62,0.342,0.038,1,0.487,2,3,0.458,62.0,0,9,80,71,1,18057.44,63.9,0.588,1,5,2,2
0.677,0.044,0.28,1,0.512,2,3,0.423,67.7,4,1,2,9,1,21136.47,57.7,0.691,1,5,5,1
0.23,0.044,0.727,0,0.151,0,5,0.144,23.0,10,0,-2,24,1,13439.81,73.1,0.173,3,8,10,0
0.821,0.064,0.115,1,0.785,3,2,0.778,82.1,1,11,100,89,1,13982.08,72.0,0.752,0,2,3,3
0.775,0.112,0.112,1,0.617,3,2,0.599,77.5,1,4,49,46,1,33956.28,32.1,0.602,1,4,3,2
0.282,0.0,0.725,0,0.453,2,3,0.416,28.2,10,1,13,44,0,7879.88,84.2,0.15,3,5,11,0
0.796,0.076,0.128,1,0.669,3,2,0.586,79.6,1,4,46,58,1,23244.37,53.5,0.692,1,4,1,2
0.961,0.032,0.007,1,1.0,5,0,0.925,96.1,0,12,100,79,1,45090.51,9.8,0.971,0,0,2,3
0.627,0.302,0.071,1,0.511,2,3,0.476,62.7,1,4,44,38,1,15193.73,69.6,0.622,1,5,1,2
0.861,0.059,0.08,1,0.717,3,2,0.623,86.1,1,14,100,63,1,33226.91,33.5,0.923,0,3,3,3
0.443,0.37,0.187,1,0.604,3,2,0.6,44.3,2,0,11,70,0,22218.28,55.6,0.417,2,4,3,1
0.691,0.206,0.102,1,0.769,3,2,0.758,69.1,1,11,100,53,1,14197.58,71.6,0.617,1,2,3,2
0.511,0.301,0.187,1,0.5,2,3,0.445,51.1,2,4,56,40,0,19057.39,61.9,0.407,2,5,4,1
0.78,0.193,0.027,1,0.69,3,2,0.653,78.0,0,12,100,16,1,28256.1,43.5,0.734,1,3,1,3
0.795,0.166,0.039,1,0.761,3,2,0.679,79.5,0,13,100,87,1,14537.7,70.9,0.6,1,3,0,3
0.923,0.068,0.009,1,0.837,4,1,0.749,92.3,0,9,87,87,1,18640.44,62.7,0.839,0,2,2,3
0.862,0.089,0.05,1,0.677,3,2,0.559,86.2,0,9,100,62,1,48875.1,2.2,0.805,0,4,2,3
0.374,0.393,0.233,0,0.567,2,3,0.464,37.4,3,2,16,40,0,28195.85,43.6,0.202,3,5,3,0
0.6,0.259,0.141,1,0.497,2,3,0.433,60.0,2,3,23,85,0,16058.14,67.9,0.604,2,5,2,1
0.866,0.03,0.104,1,0.815,4,1,0.727,86.6,1,3,23,77,1,19103.82,61.8,0.922,0,2,3,2
0.709,0.259,0.031,1,0.704,3,2,0.595,70.9,0,13,100,14,1,11978.23,76.0,0.706,1,4,0,3
0.89,0.109,0.001,1,0.861,4,1,0.793,89.0,0,6,78,86,1,20392.65,59.2,0.884,0,2,1,3
0.868,0.097,0.035,1,0.687,3,2,0.606,86.8,0,3,38,77,1,37602.66,24.8,0.703,0,3,0,3
0.7,0.051,0.249,1,0.501,2,3,0.49,70.0,3,4,45,26,1,29854.07,40.3,0.561,1,5,4,2
0.875,0.019,0.106,1,0.709,3,2,0.598,87.5,1,7,69,28,1,22727.08,54.5,0.805,0,4,3,2
0.801,0.169,0.029,1,0.702,3,2,0.565,80.1,0,3,41,59,1,30931.0,38.1,0.622,0,4,0,2
0.818,0.168,0.015,1,0.767,3,2,0.732,81.8,0,6,54,17,1,41512.84,17.0,0.653,0,2,1,3
0.773,0.093,0.133,1,0.654,3,2,0.579,77.3,2,6,67,57,1,33865.94,32.3,0.612,1,4,3,2
0.608,0.254,0.139,1,0.617,3,2,0.522,60.8,2,5,44,52,1,29916.42,40.2,0.421,1,4,2,2
0.609,0.28,0.112,1,0.728,3,2,0.659,60.9,1,3,35,13,1,26924.99,46.2,0.611,1,3,1,2
0.748,0.123,0.129,1,0.728,3,2,0.624,74.8,1,3,41,42,1,30351.67,39.3,0.73,1,3,1,2
0.343,0.405,0.252,0,0.531,2,3,0.429,34.3,3,1,25,24,1,25554.17,48.9,0.319,3,5,3,0
0.861,0.117,0.022,1,0.878,4,1,0.72,86.1,0,5,57,58,1,29180.47,41.6,0.724,0,2,0,3
0.929,0.059,0.012,1,1.0,5,0,0.851,92.9,0,4,59,57,1,27627.59,44.7,0.913,0,1,0,3
0.086,0.55,0.364,0,0.092,0,5,0.085,8.6,5,3,39,10,1,14131.37,71.7,0.01,4,9,7,0
0.853,0.113,0.035,0,0.913,4,1,0.768,85.3,0,4,48,50,1,23390.37,53.2,0.671,0,2,2,1
0.74,0.115,0.146,1,0.544,2,3,0.487,74.0,2,4,32,29,1,20507.26,59.0,0.713,1,5,2,2
0.874,0.115,0.01,1,0.984,4,1,0.873,87.4,0,4,50,12,1,21933.65,56.1,0.682,0,1,2,3
0.43,0.181,0.39,1,0.609,3,2,0.588,43.0,5,2,35,21,1,34542.11,30.9,0.335,2,4,7,1
0.656,0.339,0.005,1,0.826,4,1,0.688,65.6,0,4,33,72,1,17876.4,64.2,0.613,1,3,1,2
0.657,0.194,0.15,0,0.687,3,2,0.64,65.7,2,0,11,49,0,16165.44,67.7,0.657,1,3,3,0
0.881,0.008,0.11,1,0.909,4,1,0.853,88.1,1,7,71,67,1,20005.87,60.0,0.888,0,1,1,3
0.229,0.345,0.427,0,0.057,0,5,0.053,22.9,6,3,44,13,1,10391.68,79.2,0.307,3,9,8,0
0.526,0.214,0.26,0,0.562,2,3,0.485,52.6,3,2,24,16,1,26037.26,47.9,0.589,2,5,5,0
0.505,0.192,0.303,1,0.407,2,3,0.396,50.5,4,3,48,16,1,10776.54,78.4,0.574,2,6,6,1
0.622,0.273,0.106,0,0.758,3,2,0.677,62.2,1,8,76,25,1,22232.25,55.5,0.479,1,3,1,1
0.84,0.019,0.142,1,0.741,3,2,0.73,84.0,2,8,96,48,1,27391.01,45.2,0.917,0,2,4,3
0.585,0.303,0.112,0,0.548,2,3,0.456,58.5,1,4,58,39,0,31646.06,36.7,0.425,2,5,2,0
0.727,0.235,0.038,1,0.57,2,3,0.485,72.7,0,8,84,21,1,12277.11,75.4,0.541,1,5,1,2
0.76,0.2,0.04,1,0.707,3,2,0.572,76.0,0,6,51,42,1,23695.29,52.6,0.783,1,4,1,2
0.062,0.417,0.521,0,0.015,0,5,0.013,6.2,7,2,11,25,1,11755.85,76.5,0.056,4,9,7,0
0.808,0.175,0.017,1,0.796,3,2,0.687,80.8,0,10,94,68,1,17089.88,65.8,0.906,0,3,1,3
0.141,0.074,0.785,0,0.105,0,5,0.097,14.1,11,1,0,54,0,14624.3,70.8,0.004,4,9,12,0
0.652,0.226,0.122,1,0.826,4,1,0.818,65.2,1,14,100,27,1,25855.7,48.3,0.457,1,1,1,3
0.88,0.098,0.022,1,1.0,5,0,0.955,88.0,0,5,49,68,1,47904.27,4.2,0.795,0,0,2,3
0.564,0.226,0.209,1,0.413,2,3,0.34,56.4,3,4,52,55,0,21732.06,56.5,0.468,2,6,4,1
0.804,0.165,0.03,1,0.752,3,2,0.664,80.4,0,7,70,85,1,21287.18,57.4,0.803,0,3,2,3
0.43,0.22,0.35,1,0.362,1,4,0.328,43.0,5,0,10,57,0,22145.51,55.7,0.256,2,6,7,0
0.883,0.013,0.104,1,0.905,4,1,0.833,88.3,1,11,100,84,1,28095.07,43.8,0.955,0,1,2,3
0.801,0.05,0.149,1,0.868,4,1,0.744,80.1,2,12,100,68,1,13836.42,72.3,0.663,0,2,2,3
0.106,0.176,0.718,0,0.101,0,5,0.1,10.6,10,4,59,7,1,16330.08,67.3,0.177,4,8,10,0
0.846,0.153,0.001,1,0.799,3,2,0.662,84.6,0,4,52,59,1,44220.17,11.6,0.734,0,3,1,3
0.171,0.063,0.766,0,0.142,0,5,0.116,17.1,11,3,27,61,0,11353.79,77.3,0.182,4,8,13,0
0.476,0.185,0.339,1,0.32,1,4,0.296,47.6,5,2,24,17,1,23594.96,52.8,0.477,2,7,7,2
0.834,0.145,0.021,1,0.709,3,2,0.677,83.4,0,7,80,68,1,27127.53,45.7,0.813,0,3,2,3
0.916,0.084,0.0,1,1.0,5,0,0.914,91.6,0,13,100,14,1,24612.29,50.8,0.798,0,0,0,3
0.731,0.159,0.109,1,0.801,4,1,0.674,73.1,1,9,94,19,1,12249.18,75.5,0.701,1,3,2,3
0.12,0.439,0.441,0,0.247,1,4,0.235,12.0,6,1,18,52,0,19486.87,61.0,0.0,4,7,7,0
0.679,0.118,0.203,1,0.762,3,2,0.699,67.9,3,1,7,49,0,31328.63,37.3,0.555,1,3,3,2
0.862,0.118,0.021,1,0.801,4,1,0.659,86.2,0,10,100,70,1,24882.81,50.2,0.75,0,3,1,3
0.895,0.065,0.04,1,0.989,4,1,0.85,89.5,0,13,100,24,1,40592.48,18.8,0.894,0,1,1,3
0.832,0.039,0.129,0,0.905,4,1,0.728,83.2,1,4,48,61,1,13708.7,72.6,0.861,0,2,2,1
0.852,0.113,0.034,1,1.0,5,0,0.868,85.2,0,12,100,40,1,21238.16,57.5,0.91,0,1,1,3
0.368,0.417,0.215,1,0.313,1,4,0.31,36.8,3,3,49,15,1,14432.78,71.1,0.427,3,6,5,1
0.11,0.292,0.599,0,0.0,0,5,0.0,11.0,8,1,22,88,0,5262.02,89.5,0.0,4,10,10,0
0.817,0.155,0.028,1,0.719,3,2,0.595,81.7,0,8,79,48,1,30197.65,39.6,0.658,0,4,1,3
0.653,0.034,0.312,1,0.607,3,2,0.523,65.3,4,1,21,89,0,28117.61,43.8,0.558,1,4,5,1
0.731,0.122,0.147,1,0.776,3,2,0.67,73.1,2,8,92,21,1,28325.61,43.3,0.612,1,3,2,3
0.994,0.0,0.021,1,1.0,5,0,0.811,99.4,0,7,85,11,1,32104.72,35.8,1.0,0,1,2,3
0.617,0.254,0.13,1,0.687,3,2,0.561,61.7,1,0,0,18,1,23256.19,53.5,0.628,1,4,3,2
0.906,0.052,0.042,1,0.852,4,1,0.699,90.6,0,6,78,68,1,21748.07,56.5,0.894,0,3,2,3
0.845,0.079,0.076,1,1.0,5,0,0.978,84.5,1,13,100,11,1,15597.43,68.8,0.778,0,0,1,3
0.979,0.0,0.021,1,0.786,3,2,0.765,97.9,0,12,100,45,1,33283.42,33.4,0.908,0,2,0,3
0.392,0.367,0.241,1,0.249,1,4,0.227,39.2,3,0,17,23,1,27083.41,45.8,0.271,3,7,3,1
0.88,0.078,0.041,1,0.742,3,2,0.716,88.0,0,12,100,87,1,40413.71,19.2,0.775,0,2,0,3
0.717,0.2,0.084,1,0.583,2,3,0.513,71.7,1,12,100,51,1,33580.86,32.8,0.734,1,4,3,2
0.96,0.033,0.007,1,0.899,4,1,0.893,96.0,0,3,37,84,1,31051.17,37.9,0.969,0,1,2,3
0.506,0.13,0.364,0,0.349,1,4,0.346,50.6,5,0,16,45,0,25530.0,48.9,0.307,2,6,6,0
0.459,0.389,0.152,0,0.58,2,3,0.557,45.9,2,0,15,51,0,22680.94,54.6,0.5,2,4,2,0
0.435,0.39,0.176,1,0.62,3,2,0.521,43.5,2,3,25,14,1,29577.47,40.8,0.34,2,4,3,1
0.558,0.178,0.264,1,0.494,2,3,0.44,55.8,3,1,25,18,1,21265.59,57.5,0.485,2,5,5,1
0.91,0.043,0.048,1,0.782,3,2,0.739,91.0,0,6,63,61,1,33360.5,33.3,0.776,0,2,0,3
0.695,0.255,0.05,1,0.544,2,3,0.445,69.5,0,6,60,48,1,10098.23,79.8,0.644,1,5,1,2
0.855,0.123,0.022,1,0.69,3,2,0.592,85.5,0,5,65,63,1,48177.81,3.6,0.827,0,4,2,2
0.75,0.246,0.003,1,0.846,4,1,0.763,75.0,0,6,63,69,1,31576.36,36.8,0.708,1,2,2,3
0.864,0.112,0.024,1,0.989,4,1,0.941,86.4,0,4,39,36,1,22527.5,54.9,0.861,0,0,2,3
0.99,0.0,0.04,1,0.941,4,1,0.901,99.0,0,5,61,37,1,16168.76,67.7,0.906,0,0,0,3
0.383,0.226,0.391,0,0.497,2,3,0.429,38.3,5,1,22,46,0,30478.26,39.0,0.204,3,5,6,0
0.772,0.159,0.069,1,0.758,3,2,0.674,77.2,1,10,99,86,1,27891.91,44.2,0.837,1,3,2,3
0.545,0.167,0.287,1,0.506,2,3,0.504,54.5,4,2,23,80,0,12504.23,75.0,0.451,2,4,5,1
0.326,0.194,0.48,0,0.156,0,5,0.13,32.6,7,1,28,87,0,19981.25,60.0,0.237,3,8,7,0
1.0,0.0,0.031,1,1.0,5,0,0.956,100.0,0,8,88,42,1,44156.99,11.7,1.0,0,0,1,2
0.95,0.001,0.05,1,0.908,4,1,0.802,95.0,0,9,100,87,1,35255.13,29.5,0.859,0,1,1,3
0.84,0.123,0.037,1,0.753,3,2,0.724,84.0,0,12,100,31,1,18434.16,63.1,0.774,0,2,1,3
0.414,0.226,0.359,1,0.232,1,4,0.194,41.4,5,3,42,33,0,12246.96,75.5,0.254,2,8,7,0
0.138,0.488,0.374,0,0.318,1,4,0.318,13.8,5,0,-9,40,0,17844.01,64.3,0.0,4,6,7,0
0.662,0.278,0.06,1,0.74,3,2,0.629,66.2,0,12,100,73,1,11498.17,77.0,0.467,1,3,1,3
0.629,0.103,0.269,0,0.481,2,3,0.432,62.9,4,4,50,24,1,21233.78,57.5,0.641,1,5,6,0
0.814,0.142,0.044,1,0.789,3,2,0.68,81.4,0,6,50,46,1,14116.37,71.8,0.616,0,3,2,3
0.943,0.055,0.002,1,0.915,4,1,0.87,94.3,0,9,88,71,1,45367.54,9.3,0.843,0,1,0,3
0.903,0.093,0.004,1,1.0,5,0,0.974,90.3,0,11,100,41,1,23994.51,52.0,0.719,0,0,2,2
0.84,0.016,0.145,1,0.647,3,2,0.63,84.0,2,7,79,54,1,14002.4,72.0,0.755,0,3,3,2
0.69,0.0,0.311,1,0.528,2,3,0.5,69.0,4,3,28,23,1,26755.04,46.5,0.71,1,5,5,2
0.828,0.162,0.01,1,1.0,5,0,0.956,82.8,0,10,100,52,1,34829.27,30.3,0.926,0,0,1,3
0.616,0.38,0.005,1,0.802,4,1,0.792,61.6,0,14,100,58,1,16013.38,68.0,0.57,1,2,2,2
0.603,0.204,0.193,1,0.665,3,2,0.59,60.3,2,4,42,43,0,13265.61,73.5,0.475,1,4,4,2
0.84,0.121,0.039,1,0.825,4,1,0.824,84.0,0,9,100,32,1,45475.42,9.0,0.83,0,1,1,3
0.339,0.376,0.285,1,0.31,1,4,0.28,33.9,4,2,29,21,1,30351.71,39.3,0.233,3,7,6,1
0.656,0.0,0.364,1,0.681,3,2,0.561,65.6,5,3,30,76,0,16825.3,66.3,0.644,1,4,6,1
0.744,0.168,0.088,1,0.785,3,2,0.751,74.4,1,4,50,36,1,27909.23,44.2,0.68,1,2,1,3
0.61,0.354,0.036,1,0.765,3,2,0.654,61.0,0,3,39,64,1,27499.75,45.0,0.412,1,3,1,2
0.34,0.0,0.779,1,0.317,1,4,0.294,34.0,11,4,53,85,0,11660.97,76.7,0.159,3,7,13,0
0.484,0.272,0.244,1,0.611,3,2,0.574,48.4,3,1,4,19,1,12398.89,75.2,0.405,2,4,5,1
0.946,0.043,0.011,1,0.787,3,2,0.695,94.6,0,7,70,54,1,36552.17,26.9,0.785,0,3,0,3
0.227,0.352,0.421,0,0.301,1,4,0.26,22.7,6,3,49,19,1,18063.38,63.9,0.028,3,7,7,1
0.755,0.133,0.112,1,0.83,4,1,0.737,75.5,1,7,63,48,1,27609.65,44.8,0.823,1,2,3,2
0.375,0.446,0.178,1,0.323,1,4,0.27,37.5,2,4,43,50,0,13403.41,73.2,0.222,3,7,4,1
0.047,0.231,0.722,0,0.0,0,5,0.0,4.7,10,1,11,75,0,17707.36,64.6,0.0,4,10,10,0
0.736,0.132,0.132,1,0.639,3,2,0.607,73.6,1,4,31,69,1,19321.76,61.4,0.788,1,3,1,2
0.608,0.287,0.104,1,0.674,3,2,0.56,60.8,1,6,76,14,1,20037.91,59.9,0.537,1,4,3,2
0.724,0.274,0.003,0,0.797,3,2,0.772,72.4,0,8,85,13,1,10116.11,79.8,0.786,1,2,1,1
0.863,0.104,0.033,1,0.695,3,2,0.59,86.3,0,12,100,46,1,47478.92,5.0,0.792,0,4,2,3
0.894,0.0,0.144,1,1.0,5,0,0.97,89.4,2,3,30,15,1,11817.06,76.4,0.945,0,0,2,3
0.16,0.251,0.588,0,0.35,1,4,0.311,16.0,8,3,21,81,0,15438.33,69.1,0.036,4,6,10,0
0.383,0.208,0.408,0,0.3,1,4,0.287,38.3,6,1,6,40,0,14638.7,70.7,0.321,3,7,7,0
0.244,0.09,0.665,1,0.316,1,4,0.267,24.4,9,1,2,68,0,16354.92,67.3,0.269,3,7,11,0
0.887,0.106,0.006,1,0.913,4,1,0.904,88.7,0,5,41,79,1,21635.84,56.7,0.697,0,0,0,3
0.768,0.136,0.096,1,0.596,2,3,0.526,76.8,1,5,48,29,1,31883.23,36.2,0.625,1,4,3,2
0.306,0.104,0.59,0,0.126,0,5,0.106,30.6,8,2,38,89,0,6045.09,87.9,0.238,3,8,9,0
0.79,0.094,0.116,1,0.886,4,1,0.862,79.0,1,11,100,80,1,32498.79,35.0,0.605,1,1,1,3
0.012,0.632,0.356,0,0.086,0,5,0.074,1.2,5,0,8,48,0,7789.3,84.4,0.0,4,9,6,0
0.628,0.0,0.399,0,0.617,3,2,0.593,62.8,5,2,29,81,0,21346.33,57.3,0.607,1,4,6,0
0.669,0.15,0.181,1,0.737,3,2,0.658,66.9,2,3,44,16,1,15804.62,68.4,0.733,1,3,3,2
0.314,0.344,0.341,1,0.155,0,5,0.142,31.4,5,1,20,27,1,21844.58,56.3,0.309,3,8,6,0
0.947,0.018,0.035,1,0.917,4,1,0.903,94.7,0,9,100,33,1,22533.15,54.9,0.845,0,0,2,3
0.968,0.003,0.029,1,0.929,4,1,0.919,96.8,0,14,100,67,1,36421.74,27.2,0.881,0,0,1,3
0.709,0.237,0.055,1,0.524,2,3,0.523,70.9,0,13,100,50,1,10949.95,78.1,0.69,1,4,1,2
0.111,0.144,0.745,0,0.077,0,5,0.062,11.1,11,0,18,39,0,17311.74,65.4,0.0,4,9,13,0
0.403,0.481,0.116,1,0.543,2,3,0.534,40.3,1,4,42,14,1,22564.17,54.9,0.255,2,4,1,2
0.974,0.0,0.043,1,1.0,5,0,0.979,97.4,0,6,66,37,1,24266.85,51.5,0.961,0,0,2,3
0.898,0.095,0.006,1,0.7,3,2,0.655,89.8,0,11,100,68,1,20914.03,58.2,0.838,0,3,1,3
0.452,0.309,0.24,1,0.354,1,4,0.344,45.2,3,3,48,60,0,11688.82,76.6,0.262,2,6,3,1
0.759,0.127,0.114,0,0.933,4,1,0.764,75.9,1,11,100,35,1,12835.69,74.3,0.569,1,2,1,1
0.688,0.012,0.3,1,0.798,3,2,0.724,68.8,4,3,42,61,0,30586.33,38.8,0.783,1,2,4,2
0.82,0.141,0.039,1,0.769,3,2,0.621,82.0,0,4,46,78,1,34943.89,30.1,0.67,0,3,1,3
0.808,0.188,0.004,1,0.962,4,1,0.927,80.8,0,13,100,57,1,22559.48,54.9,0.827,0,0,0,3
0.843,0.127,0.03,1,0.955,4,1,0.829,84.3,0,5,56,80,1,29361.82,41.3,0.939,0,1,1,3
0.656,0.096,0.247,1,0.495,2,3,0.434,65.6,3,2,15,50,0,16849.77,66.3,0.608,1,5,5,1
0.588,0.128,0.284,1,0.528,2,3,0.456,58.8,4,4,32,29,1,14704.37,70.6,0.39,2,5,4,2
0.891,0.088,0.021,1,0.771,3,2,0.739,89.1,0,5,62,88,1,26365.8,47.3,0.706,0,2,1,3
0.037,0.574,0.389,0,0.169,0,5,0.149,3.7,5,2,22,30,1,9853.66,80.3,0.0,4,8,6,0
0.844,0.133,0.023,1,0.669,3,2,0.561,84.4,0,13,100,25,1,16316.99,67.4,0.742,0,4,2,3
0.624,0.043,0.332,0,0.61,3,2,0.583,62.4,4,3,47,26,1,11255.33,77.5,0.607,1,4,4,0
0.871,0.115,0.014,1,1.0,5,0,0.81,87.1,0,5,60,74,1,24968.01,50.1,0.945,0,1,0,3
0.286,0.15,0.564,1,0.211,1,4,0.193,28.6,8,1,23,62,0,8084.44,83.8,0.313,3,8,10,0
0.852,0.114,0.034,1,1.0,5,0,0.933,85.2,0,9,100,18,1,36004.34,28.0,0.699,0,0,0,3
0.597,0.144,0.258,1,0.505,2,3,0.505,59.7,3,2,19,75,0,27136.81,45.7,0.434,2,4,5,1
0.681,0.26,0.059,1,0.552,2,3,0.442,68.1,0,3,36,24,1,19166.68,61.7,0.774,1,5,1,2
0.486,0.21,0.304,1,0.47,2,3,0.432,48.6,4,2,33,77,0,11226.34,77.5,0.552,2,5,5,1
0.682,0.073,0.245,0,0.555,2,3,0.471,68.2,3,3,45,10,1,32831.14,34.3,0.552,1,5,4,0
0.203,0.0,0.799,0,0.127,0,5,0.123,20.3,11,3,48,56,0,9507.9,81.0,0.048,3,8,13,0
